Price,Close,High,Low,Open,Volume,adjclose_15,true_adjclose_15,buy_profit,sell_profit
Ticker,AMZN,AMZN,AMZN,AMZN,AMZN,,,,
Date,,,,,,,,,
2020-07-20,159.8419952392578,160.0679931640625,149.7010040283203,150.00999450683594,151964000,150.24109,157.98805217341925,0.0,1.85394287109375
2020-07-22,154.99549865722656,157.5,153.26300048828125,156.25,82084000,151.26123,154.88362716086837,0.0,0.11187744140625
2020-07-29,151.67649841308594,151.95799255371094,149.8385009765625,151.54949951171875,59482000,150.12953,164.59944141531855,0.0,-12.922943115234375
2020-08-13,158.05099487304688,160.87600708007812,157.75,159.14950561523438,62980000,155.36105,173.66657075398217,0.0,-15.615570068359375
2020-08-31,172.54800415039062,174.75,170.25,170.44949340820312,83718000,164.58716,151.18882650151744,0.0,21.359176635742188
2020-09-08,157.49200439453125,162.54249572753906,156.5,157.1999969482422,121884000,165.21736,158.24114633027713,0.7491455078125,0.0
2020-09-09,163.4304962158203,165.15899658203125,159.25,160.14950561523438,103774000,163.64244,156.5347449591275,-6.895751953125,0.0
2020-09-11,155.81100463867188,160.86700439453125,154.19900512695312,160.4344940185547,101880000,160.70055,157.15701965321142,1.34600830078125,0.0
2020-09-15,157.80650329589844,158.75100708007812,155.4459991455078,156.80799865722656,80430000,157.89249,157.72349382130304,-0.0830078125,0.0
2020-09-17,150.43649291992188,151.47149658203125,148.62750244140625,150.46249389648438,128982000,155.1826,160.71231899758155,10.275833129882812,0.0
2020-09-18,147.74549865722656,151.88999938964844,145.27699279785156,151.58700561523438,177852000,153.31926,159.96548901496104,12.219985961914062,0.0
2020-09-23,149.9929962158203,156.35000610351562,149.61900329589844,156.02149963378906,113054000,149.5124,171.77333645002773,0.0,-21.78033447265625
2020-10-19,160.36050415039062,166.4499969482422,159.63699340820312,164.98049926757812,104472000,162.16455,161.01324652086225,0.652740478515625,0.0
2020-10-21,159.2469940185547,161.69400024414062,158.0,160.625,91854000,160.91626,152.58085956873862,-6.6661376953125,0.0
2020-11-03,152.42050170898438,153.7449951171875,149.0489959716797,150.92649841308594,97958000,154.02116,154.5099612952587,2.0894622802734375,0.0
2020-11-09,157.18699645996094,164.4499969482422,155.60549926757812,161.55149841308594,143808000,155.82338,158.89431657444726,0.0,-1.7073211669921875
2020-11-12,155.51400756835938,158.79400634765625,154.30250549316406,157.99749755859375,87240000,154.66669,159.37809345074805,0.0,-3.8640899658203125
